
# Pedestal Example
PD-001,Bedside Pedestal - Modern White,"Contemporary bedside pedestal with clean lines. Quality MDF construction with durable white finish. Soft-close drawer mechanism. Open shelf for books and accessories. Cable management hole for charging devices. Factory-direct furniture from East London. Easy assembly with included instructions. Perfect for modern bedrooms. Matching bedroom furniture available.","Modern white bedside pedestal with soft-close drawer",699.00,,pedestals,"bedside, modern, white, drawer",pedestal-modern-white-01.webp,instock,8,8,45,40,55,14,MDF with Paint,Soft-Close,simple,,,yes,no,notify,no,visible,,0,open,open,,,taxable,standard,,,,,,,,,,,,Width,40 cm,1,1,Height,55 cm,1,1,Depth,45 cm,1,1,Finish,"White|Oak|Walnut|Grey",1,1,,,,,,,,,

# Sofa Example
SF-001,3-Seater Fabric Sofa - Navy Blue,"Comfortable 3-seater sofa upholstered in durable navy fabric. Quality foam cushions with spring support. Solid wood frame with 5-year warranty. Removable cushion covers for easy cleaning. Available in multiple colours and fabrics. Factory-direct pricing with custom options. Perfect for family living rooms. Professional delivery and assembly included. Fabric protection treatment available.","Quality 3-seater sofa with removable covers",8999.00,,sofas,"3-seater, fabric, navy, removable covers",sofa-navy-3seater-01.webp,instock,2,35,200,85,75,28,Durable Fabric,None,simple,,,yes,no,notify,no,visible,,0,open,open,,,taxable,standard,,,,,,,,,,,,Seats,3,1,1,Width,200 cm,1,1,Height,85 cm,1,1,Depth,75 cm,1,1,Colour,"Navy|Grey|Beige|Charcoal",1,1,Configuration,"3-Seater|L-Shape|Corner",1,1,,,,,,,,,

# Scatter Cushions Example
SC-001,Decorative Scatter Cushions - Set of 2,"Premium scatter cushion set with removable covers. Quality feather-filled inserts for ultimate comfort. Available in multiple designer fabrics and colours. Perfect for sofas, beds, and accent chairs. Factory-direct pricing with custom options. Machine washable covers for easy maintenance. Mix and match colours for personalised style.","Set of 2 decorative scatter cushions with feather inserts",399.99,,scatter-cushions,"scatter cushions, decorative, feather, set",scatter-cushions-set-01.webp,instock,20,1.5,45,45,15,5,Designer Fabric,Feather Fill,simple,,,yes,no,notify,no,visible,,0,open,open,,,taxable,standard,,,,,,,,,,,,Size,45x45 cm,1,1,Fill,Feather,1,1,Quantity,Set of 2,1,1,Pattern,"Plain|Striped|Geometric|Floral",1,1,Colour,"Multi|Blue|Green|Neutral",1,1,,,,,,,,,

# Security Gate Example
SG-001,Retractable Security Gate - White,"Heavy-duty retractable security gate for doors and windows. Powder-coated steel construction with white finish. Smooth sliding mechanism with multiple locking points. Custom sizing available for perfect fit. Factory-direct security solutions from East London. Professional installation included. Enhances home security while maintaining aesthetics. Suitable for residential and commercial properties.","Retractable security gate with multi-point locking",3499.00,,security-gates,"security gate, retractable, steel, locking",security-gate-white-01.webp,instock,5,18,120,200,5,14,Powder-Coated Steel,Multi-Point,simple,,,yes,no,notify,no,visible,,0,open,open,,,taxable,standard,,,,,,,,,,,,Width,120 cm,1,1,Height,200 cm,1,1,Type,Retractable,1,1,Finish,"White|Bronze|Black",1,1,Locking System,"Multi-Point|Single Lock",1,1,,,,,,,,,

# COLUMN EXPLANATIONS - Keep this section for reference, don't include in final CSV
# SKU: Unique product code (e.g., MB-001 for Motorised Blind 001)
# Product Name: Full product name as displayed to customers
# Product Description: Detailed description for product page
# Short Description: Brief description for product listings
# Regular Price: Normal selling price (in Rands)
# Sale Price: Discounted price (leave blank if no sale)
# Categories: WooCommerce category slugs (comma-separated)
# Tags: Search tags (comma-separated)
# Images: Main product image filename (upload to Media Library first)
# Stock Status: instock/outofstock/onbackorder
# Stock Quantity: Number of items in stock
# Weight: Product weight in kg
# Length/Width/Height: Product dimensions in cm
# Lead Time (days): Custom field for delivery time
# Fabric Type: Custom field for material/fabric
# Motor Brand: Custom field for motorised products
# Product Type: simple/variable/grouped/external
# Virtual: yes/no (for digital products)
# Downloadable: yes/no (for digital products)
# Manage Stock: yes/no (track inventory)
# Sold Individually: yes/no (one per order)
# Backorders: yes/no/notify (allow backorders)
# Featured: yes/no (featured product)
# Catalog Visibility: visible/catalog/search/hidden
# Purchase Note: Message sent after purchase
# Menu Order: Display order in lists
# Comment Status: open/closed (product reviews)
# Ping Status: open/closed
# Date Sale Price From/To: Sale period dates
# Tax Status: taxable/shipping/none
# Tax Class: standard/reduced/zero
# Download Limit/Expiry: For digital products
# Parent: For variable products
# Grouped Products: For grouped products
# Upsells/Cross-Sells: Related product SKUs (comma-separated)
# External URL/Button Text: For external products
# Position: Menu order
# Attributes 1-3: Product variations (name, values, visible, global)
# Downloads 1-3: For downloadable products
